id,local_unique_id,address,lat,lng,price,title,offer_type,url,kod_zsj_d
13056,573148252,"Frýdlantská, Praha 8 - Kobylisy",50.1314417236155,14.478452481912301,3900000,Prodej bytu 3+1 65 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-kobylisy-frydlantska/573148252,3063710
13064,3015547996,"Kyselova, Praha 8 - Kobylisy",50.1268245411286,14.4646307527989,2800000,Prodej bytu 1+kk 23 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kobylisy-kyselova/3015547996,1304430
13077,1028504668,"Kyselova, Praha 8 - Kobylisy",50.1268245411286,14.4646307527989,2990000,Prodej bytu 1+kk 23 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kobylisy-kyselova/1028504668,1304430
13081,1527336796,"Jažlovická, Praha 4 - Chodov",50.0262514436162,14.525889170241301,5495000,Prodej bytu 3+kk 67 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-jazlovicka/1527336796,3060700
13083,1764052828,"Bohúňova, Praha 4 - Chodov",50.0247692238418,14.5223978109122,5175000,Prodej bytu 3+kk 63 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-bohunova/1764052828,3060700
13084,2239700828,"Ke Kateřinkám, Praha 4 - Chodov",50.024283514162704,14.515111999689696,4090000,Prodej bytu 2+1 47 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+1/praha-chodov-ke-katerinkam/2239700828,3060700
13088,3144195164,"Jažlovická, Praha 4 - Chodov",50.0262539,14.526005,5490000,Prodej bytu 3+kk 62 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-jazlovicka/3144195164,3060700
13089,3716427356,"Zdiměřická, Praha 4 - Chodov",50.023115509648285,14.511602384375598,5400000,Prodej bytu 2+kk 61 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-zdimericka/3716427356,3060700
13091,4028931164,"Ke Kateřinkám, Praha - Chodov",50.02305467840421,14.515965788108597,5699000,Prodej bytu 3+kk 72 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-ke-katerinkam/4028931164,3060700
13092,4073054044,"Radimovická, Praha 4 - Chodov",50.0222057790541,14.513983336250998,5190000,Prodej bytu 3+1 64 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-chodov-radimovicka/4073054044,3060700
13094,479632476,"Zdiměřická, Praha 4 - Chodov",50.0238798154,14.5129731601,4350000,Prodej bytu 2+kk 42 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-zdimericka/479632476,3060700
13095,559979612,"Tererova, Praha 4 - Chodov",50.025127399999995,14.5197344,4600000,Prodej bytu 3+kk 67 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-tererova/559979612,3060700
13096,624204892,"Zdiměřická, Praha - Chodov",50.023115509648285,14.511602384375598,5020000,Prodej bytu 2+kk 45 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-zdimericka/624204892,3060700
13097,765251164,"Bohúňova, Praha 4 - Chodov",50.024887558224,14.522670236445801,4200000,Prodej bytu 3+kk 66 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-bohunova/765251164,3060700
13098,777547612,"Radimovická, Praha 4 - Chodov",50.0220501558008,14.514828391278,5350000,Prodej bytu 3+1 69 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-chodov-radimovicka/777547612,3060700
13100,964602972,"Jažlovická, Praha 4 - Chodov",50.0251293739797,14.525106630106599,4990000,Prodej bytu 3+kk 66 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-jazlovicka/964602972,3060700
